log_stamp,Heartbeat.usage,Heartbeat.usage,Heartbeat.stamp,Heartbeat.seq
1180.554445,,,,
1180.654455,,,,
1180.754462,,,,
1180.854466,,,,
1180.954483,,,,
1181.054487,,,,
1181.154494,,,,
1181.254508,,,,
1181.354508,,,,
1181.454524,,,,
1181.554532,,,,
1181.654556,,,,
1181.754561,,,,
1181.854597,,,,
1181.954599,,,,
1182.054635,,,,
1182.154639,,,,
1182.354664,,,,
1182.454704,,,,
1182.554712,,,,
1182.654768,,,,
1182.754768,,,,
1182.854828,,,,
1182.954831,,,,
1183.054906,,,,
1183.154907,,,,
1183.254941,,,,
1183.354949,,,,
1183.455024,,,,
1183.55503,,,,
1183.655078,,,,
1183.755081,,,,
1183.855135,,,,
1183.955137,,,,
1184.055179,,,,
1184.155187,,,,
1184.255217,,,,
1184.355233,,,,
1184.455262,,,,
1184.555268,,,,
1184.655328,,,,
1184.755329,,,,
1184.855353,,,,
1184.955361,,,,
1185.055384,,,,
1185.155393,,,,
1185.255424,,,,
1185.355426,,,,
1185.455461,,,,
1185.555473,,,,
1185.655498,,,,
1185.755514,,,,
1185.855548,,,,
1185.955554,,,,
1186.055587,,,,
1186.155589,,,,
1186.255635,,,,
1244.36695,,,,
1244.467012,,,,
1244.567013,,,,
1244.66707,,,,
1244.767081,,,,
1244.867128,,,,
1244.96713,,,,
1245.067183,,,,
1245.167232,,,,
1245.267236,,,,
1245.367238,,,,
1245.467241,,,,
1245.567242,,,,
1245.667307,,,,
1245.767313,,,,
1245.86737,,,,
1245.967376,,,,
1246.067398,,,,
1246.16741,,,,
1246.267448,,,,
1246.36745,,,,
1246.467497,,,,
1246.567499,,,,
1246.667546,,,,
1246.767549,,,,
1246.867566,,,,
1246.967568,,,,
1247.067612,,,,
1247.167616,,,,
1247.267643,,,,
1423.789728,,,,
1423.889748,,,,
1423.989744,,,,
1424.089768,,,,
1424.189771,,,,
1424.289793,,,,
1424.389793,,,,
1424.489799,,,,
1424.589802,,,,
1424.68983,,,,
1424.78984,,,,
1424.889847,,,,
1424.989854,,,,
1425.089895,,,,
1425.189897,,,,
1425.28993,,,,
1425.389943,,,,
1425.489963,,,,
1425.589969,,,,
1425.689996,,,,
1671.920601,0.12816052491035324,0.12816052491035324,,
1672.020624,0.12816052491035324,0.12816052491035324,,
1672.120629,0.1283588921950103,0.1283588921950103,,
1672.22068,0.1283588921950103,0.1283588921950103,,
1672.320686,0.1283588921950103,0.1283588921950103,,
1672.420704,0.1283588921950103,0.1283588921950103,,
1672.520705,0.1283588921950103,0.1283588921950103,,
1672.620741,0.1283588921950103,0.1283588921950103,,
1672.720742,0.1283588921950103,0.1283588921950103,,
1672.820791,0.1283588921950103,0.1283588921950103,,
1672.920798,0.1283588921950103,0.1283588921950103,,
1673.020811,0.12991531242847335,0.12991531242847335,,
1673.120819,0.12991531242847335,0.12991531242847335,,
1673.220853,0.12991531242847335,0.12991531242847335,,
1673.320861,0.12991531242847335,0.12991531242847335,,
1673.420873,0.12991531242847335,0.12991531242847335,,
1673.520874,0.12991531242847335,0.12991531242847335,,
1781.833,0.12851148241397725,0.12851148241397725,1781833000,17815
1781.93301,0.12851148241397725,0.12851148241397725,1781933010,17816
1782.033018,0.12816052491035324,0.12816052491035324,1782033018,17817
1782.133025,0.12816052491035324,0.12816052491035324,1782133025,17818
1782.233032,0.12816052491035324,0.12816052491035324,1782233032,17819
1782.333039,0.12816052491035324,0.12816052491035324,1782333039,17820
1782.433043,0.12816052491035324,0.12816052491035324,1782433043,17821
1782.533066,0.12816052491035324,0.12816052491035324,1782533066,17822
1782.633071,0.12816052491035324,0.12816052491035324,1782633071,17823
1782.733072,0.12816052491035324,0.12816052491035324,1782733072,17824
1782.833077,0.12816052491035324,0.12816052491035324,1782833077,17825
1782.933085,0.12816052491035324,0.12816052491035324,1782933085,17826
1783.033105,0.12808422980086975,0.12808422980086975,1783033105,17827
1783.133105,0.12808422980086975,0.12808422980086975,1783133105,17828
1783.23311,0.12808422980086975,0.12808422980086975,1783233110,17829
1783.333115,0.12808422980086975,0.12808422980086975,1783333115,17830
1783.433119,0.12808422980086975,0.12808422980086975,1783433119,17831
1783.53313,0.12808422980086975,0.12808422980086975,1783533130,17832
1783.633137,0.12808422980086975,0.12808422980086975,1783633137,17833
1783.733148,0.12808422980086975,0.12808422980086975,1783733148,17834
1783.833158,0.12808422980086975,0.12808422980086975,1783833158,17835
1784.033166,0.12770275425345234,0.12770275425345234,1784033166,17837
1784.133177,0.12770275425345234,0.12770275425345234,1784133177,17838
1784.233194,0.12770275425345234,0.12770275425345234,1784233194,17839
1784.333207,0.12770275425345234,0.12770275425345234,1784333207,17840
1784.43321,0.12770275425345234,0.12770275425345234,1784433210,17841
1784.533213,0.12770275425345234,0.12770275425345234,1784533213,17842
1784.633223,0.12770275425345234,0.12770275425345234,1784633223,17843
1784.73323,0.12770275425345234,0.12770275425345234,1784733230,17844
1784.833238,0.12770275425345234,0.12770275425345234,1784833238,17845
1784.933247,0.12770275425345234,0.12770275425345234,1784933247,17846
1785.033254,0.1282673380636301,0.1282673380636301,1785033254,17847
1785.133257,0.1282673380636301,0.1282673380636301,1785133257,17848
1785.233261,0.1282673380636301,0.1282673380636301,1785233261,17849
1785.333269,0.1282673380636301,0.1282673380636301,1785333269,17850
1785.433277,0.1282673380636301,0.1282673380636301,1785433277,17851
1785.533284,0.1282673380636301,0.1282673380636301,1785533284,17852
1785.633293,0.1282673380636301,0.1282673380636301,1785633293,17853
1785.733306,0.1282673380636301,0.1282673380636301,1785733306,17854
1785.833315,0.1282673380636301,0.1282673380636301,1785833315,17855
1785.933315,0.1282673380636301,0.1282673380636301,1785933315,17856
1786.033319,0.12910658426794844,0.12910658426794844,1786033319,17857
1786.133321,0.12910658426794844,0.12910658426794844,1786133321,17858
1786.233335,0.12910658426794844,0.12910658426794844,1786233335,17859
1786.33334,0.12910658426794844,0.12910658426794844,1786333340,17860
1786.43335,0.12910658426794844,0.12910658426794844,1786433350,17861
1786.533351,0.12910658426794844,0.12910658426794844,1786533351,17862
1786.633359,0.12910658426794844,0.12910658426794844,1786633359,17863
1786.733367,0.12910658426794844,0.12910658426794844,1786733367,17864
1786.833375,0.12910658426794844,0.12910658426794844,1786833375,17865
1786.933376,0.12910658426794844,0.12910658426794844,1786933376,17866
1787.033385,0.12809948882276645,0.12809948882276645,1787033385,17867
1787.13339,0.12809948882276645,0.12809948882276645,1787133390,17868
1787.233397,0.12809948882276645,0.12809948882276645,1787233397,17869
1787.333399,0.12809948882276645,0.12809948882276645,1787333399,17870
1787.433407,0.12809948882276645,0.12809948882276645,1787433407,17871
1787.533415,0.12809948882276645,0.12809948882276645,1787533415,17872
1787.633418,0.12809948882276645,0.12809948882276645,1787633418,17873
1787.733461,0.12809948882276645,0.12809948882276645,1787733461,17874
1787.833469,0.12809948882276645,0.12809948882276645,1787833469,17875
1787.933514,0.12809948882276645,0.12809948882276645,1787933514,17876
1788.033517,0.12903028915846496,0.12903028915846496,1788033517,17877
1788.1336,0.12903028915846496,0.12903028915846496,1788133600,17878
1788.233601,0.12903028915846496,0.12903028915846496,1788233601,17879
